날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2023-11-07","근대된장국(05)(06)","36.19kcal","맛밤송송함박스테이크(05)(06)(10)(12)(15)(16)","230.4kcal","쇠고기탕국(05)(06)(16)","114.35kcal","","","3151.72kcal"
"2023-11-07","어묵꽈리고추볶음(05)(06)(18)","184.86kcal","오미자모듬피클","65.1kcal","닭갈비(05)(06)(15)","352.09kcal","","","3151.72kcal"
"2023-11-07","쇠고기장조림(완)(01)(05)(16)","230.5kcal","크로크무슈(01)(02)(05)(06)(12)","350kcal","오이부추무침(05)(06)(09)","12.1kcal","","","3151.72kcal"
"2023-11-07","배추김치(수의)","10kcal","농심,카프리썬오렌지,200ml","60kcal","총각김치(09)","8kcal","","","3151.72kcal"
"2023-11-07","우유(백색우유(200ML,연간))(02)","130kcal","","","망고스틱(브런치)","0.76kcal","","","3151.72kcal"
"2023-11-08","밥","237.5kcal","찰보리비빔밥&볶음고추장(01)(05)","420.47kcal","오므라이스(01)(05)(06)(10)(12)(15)(16)","1476.05kcal","","","3730.61kcal"
"2023-11-08","닭고기무국(05)(06)(15)","91.58kcal","강된장찌개(05)(06)(16)(18)","174.33kcal","순두부찌개(01)(05)(06)(09)(10)(16)","114.18kcal","","","3730.61kcal"
"2023-11-08","돈육김치볶음(10)","176.1kcal","삼치구이&청양된장마요(01)(05)(06)(07)","239.7kcal","소시지구이(2형)(12)","247.72kcal","","","3730.61kcal"
"2023-11-08","연두부(05)","60kcal","무생채(09)","14.44kcal","쫄면야채무침","265.51kcal","","","3730.61kcal"
"2023-11-08","깍두기(09)","15.2kcal","배추김치(수의)","10kcal","깍두기(09)","15.2kcal","","","3730.61kcal"
"2023-11-08","우유(백색우유(200ML,연간))(02)","130kcal","","","사과(후지)","42.63kcal","","","3730.61kcal"
"2023-11-09","밥","237.5kcal","검은콩밥","245.65kcal","트리플어니언버거(01)(02)(05)(06)(10)(12)(13)(16)","1183.61kcal","","","3643.48kcal"
"2023-11-09","청양계란국(01)(16)","77.89kcal","들깨수제비(05)(06)","155.43kcal","감자튀김(12)","233.5kcal","","","3643.48kcal"
"2023-11-09","멸치고추장볶음","120.81kcal","오리고추장불고기(05)(06)(15)","408.61kcal","브로콜리크림스프(02)(06)","25.33kcal","","","3643.48kcal"
"2023-11-09","조미김","0kcal","더덕&버섯고추장구이(05)(06)","69.37kcal","시리얼","218.06kcal","","","3643.48kcal"
"2023-11-09","고기야채말이(05)(06)(10)(12)(15)(16)","265.05kcal","깍두기(09)","15.2kcal","양배추샐러드(01)(05)(12)","130.27kcal","","","3643.48kcal"
"2023-11-09","깍두기(09)","15.2kcal","","","탄산음료","112kcal","","","3643.48kcal"
"2023-11-09","","","","","우유(백색우유(200ML,연간))(02)","130kcal","","","3643.48kcal"
"2023-11-10","밥","237.5kcal","매콤가지덮밥(10)(18)","526.07kcal","찹쌀밥","269.5kcal","","","2422.25kcal"
"2023-11-10","황태채콩나물국(01)(05)(06)(09)(16)","80.43kcal","두부된장찌개(05)(06)","127.32kcal","쇠고기배추국(05)(06)(16)","43.13kcal","","","2422.25kcal"
"2023-11-10","쇠고기파프리카볶음(05)(06)(16)(18)","160.11kcal","순대야채볶음(05)(06)(10)","328.56kcal","돼지고기깻잎볶음(05)(06)(10)","331.18kcal","","","2422.25kcal"
"2023-11-10","시금치고추장무침(05)(06)(16)","27.89kcal","총각김치(09)","8kcal","모듬쌈","59.81kcal","","","2422.25kcal"
"2023-11-10","배추김치(수의)","10kcal","에이드","1.55kcal","깍두기(09)","15.2kcal","","","2422.25kcal"
